requested_name,official_name,tier,limen_category,allowed_roles,recommended_addition,google_category,license,designer,latin_ext,spanish_verified,spanish_missing,studio_enabled_initial,variable,axes,source_path
Allison,Allison,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,False,False,,ofl/allison
Bilbo Swash Caps,Bilbo Swash Caps,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,TypeSETit,True,True,,False,False,,ofl/bilboswashcaps
Birthstone,Birthstone,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,False,False,,ofl/birthstone
Delius Swash Caps,Delius Swash Caps,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Natalia Raices,False,True,,False,False,,ofl/deliusswashcaps
Italianno,Italianno,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,False,False,,ofl/italianno
Monsieur La Doulaise,Monsieur La Doulaise,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Sudtipos,True,True,,False,False,,ofl/monsieurladoulaise
Montez,Montez,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,APACHE2,Astigmatic,False,True,,False,False,,apache/montez
Parisienne,Parisienne,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Astigmatic,True,True,,False,False,,ofl/parisienne
Petit Formal Script,Petit Formal Script,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Impallari Type,True,True,,False,False,,ofl/petitformalscript
Playball,Playball,experimental,caligrafica-romantica,protagonista|acento,False,DISPLAY,OFL,Robert Leuschke,True,True,,False,False,,ofl/playball
Qwitcher Grypen,Qwitcher Grypen,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,False,False,,ofl/qwitchergrypen
Rouge Script,Rouge Script,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Sabrina Mariela Lopez,True,True,,False,False,,ofl/rougescript
Sarina,Sarina,experimental,caligrafica-romantica,protagonista|acento,False,DISPLAY,OFL,James Grieshaber,True,True,,False,False,,ofl/sarina
Sofia,Sofia,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,LatinoType,True,True,,False,False,,ofl/sofia
Tangerine,Tangerine,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Toshi Omagari,False,True,,False,False,,ofl/tangerine
Zeyada,Zeyada,experimental,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Kimberly Geswein,False,True,,False,False,,ofl/zeyada
Autour One,Autour One,experimental,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,Sorkin Type,True,True,,False,False,,ofl/autourone
Bigshot One,Bigshot One,experimental,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,Gesine Todt,False,True,,False,False,,ofl/bigshotone
Mouse Memoirs,Mouse Memoirs,experimental,fiesta-juvenil,protagonista|titulo,False,SANS_SERIF,OFL,Astigmatic,True,True,,False,False,,ofl/mousememoirs
Nova Round,Nova Round,experimental,fiesta-juvenil,protagonista|titulo,False,DISPLAY,OFL,Wojciech Kalinowski,True,True,,False,False,,ofl/novaround
Mansalva,Mansalva,experimental,garden-artesanal,protagonista|titulo|acento,False,HANDWRITING,OFL,Carolina Short,True,True,,False,False,,ofl/mansalva
Redressed,Redressed,experimental,garden-artesanal,protagonista|titulo|acento,False,HANDWRITING,APACHE2,Astigmatic,False,True,,False,False,,apache/redressed
Crafty Girls,Crafty Girls,experimental,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,APACHE2,Tart Workshop,False,True,,False,False,,apache/craftygirls
Edu TAS Beginner,Edu TAS Beginner,experimental,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,"Tina Anderson, Corey Anderson",False,False,ÁÉÍÑÓÚÜáéíñóúü,False,True,wght,ofl/edutasbeginner
Just Another Hand,Just Another Hand,experimental,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,APACHE2,Astigmatic,False,True,,False,False,,apache/justanotherhand
Over The Rainbow,Over the Rainbow,experimental,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,Kimberly Geswein,False,True,,False,False,,ofl/overtherainbow
Basic,Basic,experimental,moderna-funcional,titulo|narrativa|funcional,False,SANS_SERIF,OFL,Magnus Gaarde,True,True,,False,False,,ofl/basic
Belanosima,Belanosima,experimental,moderna-funcional,titulo|narrativa|funcional,False,DISPLAY,OFL,"The DocRepair Project, Santiago Orozco",True,True,,False,False,,ofl/belanosima
Lato,Lato,experimental,moderna-funcional,titulo|narrativa|funcional,False,SANS_SERIF,OFL,Łukasz Dziedzic,True,True,,False,False,,ofl/lato
Nobile,Nobile,experimental,moderna-funcional,titulo|narrativa|funcional,False,SANS_SERIF,OFL,Vernon Adams,True,True,,False,False,,ofl/nobile
